CMDLINE /Users/georgeanton/Desktop/Interviews/blogs/advanced_concepts/python_concepts/venv/bin/python3.10 particle.py
MEM 73.460938 1676511470.3063
MEM 73.460938 1676511470.4096
MEM 73.460938 1676511470.5100
MEM 73.460938 1676511470.6143
MEM 73.460938 1676511470.7194
MEM 73.460938 1676511470.8222
MEM 73.460938 1676511470.9255
MEM 73.460938 1676511471.0304
MEM 73.460938 1676511471.1331
MEM 73.460938 1676511471.2376
MEM 73.460938 1676511471.3392
MEM 73.460938 1676511471.4425
MEM 73.460938 1676511471.5468
MEM 73.460938 1676511471.6491
MEM 73.460938 1676511471.7524
MEM 73.460938 1676511471.8568
MEM 73.460938 1676511471.9612
MEM 73.460938 1676511472.0636
MEM 73.460938 1676511472.1674
MEM 73.460938 1676511472.2705
MEM 73.460938 1676511472.3732
MEM 73.460938 1676511472.4739
MEM 73.460938 1676511472.5783
MEM 73.460938 1676511472.6827
MEM 73.460938 1676511472.7850
MEM 73.460938 1676511472.8882
MEM 73.460938 1676511472.9934
MEM 73.460938 1676511473.0985
MEM 73.460938 1676511473.2029
MEM 73.460938 1676511473.3074
MEM 73.460938 1676511473.4086
MEM 73.460938 1676511473.5133
MEM 73.460938 1676511473.6175
MEM 73.460938 1676511473.7218
MEM 73.460938 1676511473.8269
MEM 73.460938 1676511473.9287
MEM 73.460938 1676511474.0333
MEM 73.460938 1676511474.1350
MEM 73.460938 1676511474.2400
MEM 73.460938 1676511474.3438
MEM 73.460938 1676511474.4490
MEM 73.460938 1676511474.5510
MEM 73.460938 1676511474.6561
MEM 73.460938 1676511474.7568
MEM 73.460938 1676511474.8619
FUNC __main__.evolve 73.4609 1676511417.5659 73.4609 1676511475.8327 0
MEM 73.460938 1676511474.9623
MEM 73.460938 1676511475.0674
MEM 73.460938 1676511475.1680
MEM 73.460938 1676511475.2719
MEM 73.460938 1676511475.3755
MEM 73.460938 1676511475.4774
MEM 73.460938 1676511475.5789
MEM 73.460938 1676511475.6838
MEM 73.460938 1676511475.7880
MEM 51.511719 1676511475.8911
